,TF,target,value
24,CCL2,HLA-DQA1,1.393389319253296
3,IL1R2,LCN2,1.3845075667336904
18,FCER1A,CEACAM6,1.34601411360196
20,LTF,TREM1,1.3014516663527487
14,C1QB,C3AR1,1.282373101176352
25,CCL2,MARCO,1.2780633502407612
12,CXCL1,IL1RAP,1.2731742094585585
34,CTSG,SLC11A1,1.2437552041677593
26,IFI27,CREB5,1.2411567008790072
2,HLA-DQB1,CEACAM6,1.2349066590395104
12,CXCL1,LTF,1.2196796457443373
33,CREB5,HLA-DRB4,1.2093969738748602
31,TREM1,EGR1,1.205691980404135
17,SLC11A1,IFI27,1.2037667523983835
18,FCER1A,MSR1,1.202929282855977
4,PTGS2,EGR2,1.2026393403920563
3,IL1R2,PTGDR2,1.199500117095536
7,IL3RA,LILRA4,1.1936758055938665
17,FCER1A,FN1,1.1873841471850495
18,FLT3,F2RL1,1.185118621488268
5,IL8,MSR1,1.1831337961375161
32,LCN2,FOS,1.1720606686344661
33,LCN2,CTSG,1.1674871668137892
33,CREB5,CEACAM6,1.1650693585454819
7,IL3RA,FOS,1.160493811279006
2,HLA-DQB1,EGR2,1.1492839788071894
28,CEACAM6,IDO1,1.1438896714483384
20,LTF,LBP,1.1426362636980707
21,IL1RAP,FCER1A,1.1391526158196699
0,HLA-DRB4,C1QB,1.1377915145653983
25,CCL2,LCN2,1.1376116707841601
1,HLA-DQA1,LCN2,1.1357845485121052
7,IL3RA,EGR2,1.1318646763800742
27,MARCO,TREM1,1.1265446669832182
6,FN1,EGR2,1.1175690593383145
10,EGR2,CREB5,1.1129029825829666
1,HLA-DQA1,CXCL1,1.1125821023072735
27,MSR1,CXCL1,1.1094700032181004
4,PTGS2,CCL2,1.10518719991415
5,IL8,MARCO,1.1035853249905065
33,CREB5,EGR2,1.0971675100850193
18,FCER1A,CCL2,1.090684529266933
12,CXCL1,LILRA4,1.086131111259791
14,PTGDR2,CEACAM8,1.07587407430456
28,CEACAM6,LILRA4,1.0745475331380616
30,IL32,PTGS2,1.073132453060135
22,LBP,IDO1,1.0724636731292403
7,EGR1,IL1R2,1.0717590981422052
28,CEACAM6,PTGS2,1.0693548224409692
4,PTGS2,CXCL1,1.0690705459105274
27,MSR1,LILRA4,1.0672042944242355
19,LTF,EGR1,1.066421093828986
21,IL1RAP,FLT3,1.0651244347642472
3,IL1R2,MARCO,1.0646743539154444
6,FN1,IL32,1.0644110610908672
4,PTGS2,IL32,1.0613313985557429
5,IL8,LILRA4,1.0595760167327857
15,F2RL1,CXCL1,1.05792555250794
31,TREM1,FN1,1.0501937004254462
21,IDO1,LBP,1.0494965762573913
5,IL8,LTF,1.0492647722038597
24,LILRA4,CREB5,1.0441869250261318
31,TREM1,IL3RA,1.0427089989588163
21,IL1RAP,C1QB,1.042689500018649
12,C3AR1,IL3RA,1.036472819092103
3,IL1R2,CEACAM8,1.0317223233687975
27,MSR1,CCL2,1.0313306718273079
1,HLA-DQA1,EGR2,1.030521303886268
19,LTF,SLC11A1,1.0295081864910065
5,IL8,LBP,1.0292845429743653
6,FN1,CEACAM8,1.0290132681059416
30,CEACAM8,TREM1,1.028867311007487
30,IL32,IL1R2,1.0285135342795568
18,FLT3,SLC11A1,1.0280546677918634
26,MARCO,F2RL1,1.0278122268092598
3,IL1R2,IL3RA,1.0277668640948832
1,HLA-DQA1,FLT3,1.0268666668251842
16,F2RL1,FLT3,1.0266681623255605
11,CXCL1,ARG1,1.024021571703222
3,IL1R2,FOS,1.0218034680310752
23,LILRA4,EGR1,1.0211058184448483
13,C3AR1,CTSG,1.0169742971594697
31,TREM1,LILRA4,1.0162379113867155
22,IL1RAP,LBP,1.014157661619184
25,CCL2,IFI27,1.0141064322347477
28,CEACAM6,HLA-DQA1,1.0139775759937968
33,CREB5,FN1,1.0133567644189019
0,HLA-DRB4,F2RL1,1.0126853435644187
6,FN1,PTGDR2,1.0124564548631942
3,IL1R2,CCL2,1.0108467556078164
20,LTF,MSR1,1.0100509201937633
32,LCN2,LTF,1.0095301862124837
4,PTGS2,MSR1,1.0086824647157537
33,LCN2,CREB5,1.0076241614420525
26,IFI27,CEACAM8,1.0058197931546473
28,MSR1,LCN2,1.0048699529909306
33,CREB5,LBP,1.0046565399435903
2,HLA-DQB1,IL8,1.004039482869116
33,CREB5,CEACAM8,1.0033349944502348
26,IFI27,LCN2,1.0030428307188743
4,PTGS2,ARG1,1.0026441981141565
2,HLA-DQB1,LCN2,1.0018271222720565
21,IL1RAP,ARG1,1.0014840458496361
22,LBP,C1QB,1.0013937782234625
28,CEACAM6,LTF,1.0012171939216918
12,C3AR1,IL8,1.0005489005745944
5,FN1,HLA-DRB4,1.000470463303734
13,C3AR1,IL1RAP,1.0001424830843704
29,CEACAM8,HLA-DRB4,1.0001109193200024
9,FOS,CTSG,1.0001050300082839
17,FCER1A,HLA-DRB4,1.000087926193525
29,CEACAM8,HLA-DQB1,1.0000683933973178
10,EGR2,PTGDR2,1.0
6,IL3RA,HLA-DRB4,1.0
2,HLA-DQB1,IL1RAP,1.0
17,FCER1A,IL3RA,1.0
27,MSR1,HLA-DRB4,1.0
20,IDO1,PTGS2,1.0
30,IL32,MARCO,0.9999999999999997
16,F2RL1,LTF,0.999999999999996
1,HLA-DQA1,IL32,0.9999998371146803
30,IL32,HLA-DRB4,0.9999978407049032
20,LTF,IL32,0.9999965446732751
1,HLA-DQB1,HLA-DRB4,0.9999873310586688
17,FCER1A,PTGS2,0.999961819697719
27,MSR1,HLA-DQB1,0.9999586529402092
14,C1QB,HLA-DQB1,0.9999443628902434
18,FLT3,HLA-DQB1,0.9999316066026821
0,HLA-DQA1,HLA-DRB4,0.9999231818953532
9,EGR2,HLA-DRB4,0.9998929521302842
3,PTGS2,HLA-DRB4,0.999892952130284
6,FN1,MSR1,0.9998534412647929
29,CEACAM8,IL8,0.999819471455176
24,CCL2,PTGS2,0.9997912157281512
8,FOS,PTGS2,0.9997821365081514
12,CXCL1,IL32,0.9997356109075204
25,IFI27,ARG1,0.9997324473486083
32,LCN2,HLA-DRB4,0.999638953499179
24,CCL2,PTGDR2,0.9995852246124273
25,IFI27,IL8,0.9993835122280468
8,EGR1,IL1RAP,0.9991999689566161
5,IL8,PTGDR2,0.9991566144361524
26,MARCO,PTGDR2,0.9990898381416303
34,CTSG,EGR2,0.9989821558518526
17,FCER1A,ARG1,0.9988853084056529
0,HLA-DRB4,PTGDR2,0.9988783272367152
19,LTF,ARG1,0.9988059228862269
32,LCN2,ARG1,0.9987049966468116
20,IDO1,IL1R2,0.9986281513646106
7,IL3RA,CEACAM8,0.9985346820609808
1,HLA-DQA1,IL8,0.998444826031007
5,FN1,HLA-DQB1,0.9980374047476738
9,FOS,PTGDR2,0.99800887928753
11,CXCL1,EGR1,0.9976328195885935
15,F2RL1,IL3RA,0.9975480903746445
11,CXCL1,HLA-DQB1,0.9974709085979803
19,FLT3,MSR1,0.9974198489034681
22,LBP,IL1R2,0.9969284304284904
20,LTF,CEACAM8,0.9969068539967211
12,C3AR1,FOS,0.9966771671639485
11,CXCL1,FOS,0.9966771671639483
34,CTSG,PTGDR2,0.9966651572372637
6,FN1,IFI27,0.9966612746053073
28,CEACAM6,HLA-DQB1,0.9966172502603214
23,LBP,CREB5,0.9964670752736755
3,IL1R2,LTF,0.9963759802968793
0,HLA-DRB4,LTF,0.9963759802968791
2,IL1R2,HLA-DQB1,0.9962959077200396
14,C1QB,PTGDR2,0.9960153754507256
20,LTF,IFI27,0.99596515442706
11,ARG1,FCER1A,0.9957657016594359
22,LBP,EGR2,0.9954153915301295
0,HLA-DRB4,CXCL1,0.9951953442171676
30,IL32,SLC11A1,0.9950866600959208
23,LBP,IFI27,0.9947942548962665
4,PTGS2,IFI27,0.9947942548962663
16,SLC11A1,PTGDR2,0.9947384034575467
28,CEACAM6,IL1R2,0.9944809597931352
25,IFI27,CXCL1,0.9943814807988757
23,LILRA4,SLC11A1,0.9940830153549909
18,FCER1A,CTSG,0.9940127988921333
15,C1QB,CTSG,0.9939643191402142
0,HLA-DRB4,IL3RA,0.9939290642212156
21,IDO1,CTSG,0.9938592891319302
6,IL3RA,FN1,0.9936579088908444
31,TREM1,CXCL1,0.9934990388699797
23,LILRA4,IL1R2,0.9934662013133606
25,IFI27,HLA-DQB1,0.9933491849447286
2,HLA-DQB1,FN1,0.9931892116456955
33,CREB5,CCL2,0.992266481744454
4,PTGS2,C1QB,0.9920323298729223
11,CXCL1,IL8,0.99149853548945
13,C3AR1,CEACAM6,0.9907007997964522
8,EGR1,C1QB,0.9896562901570647
29,CEACAM8,FOS,0.9889545206199918
6,FN1,ARG1,0.9887794324346179
2,HLA-DQB1,F2RL1,0.9884140437731925
1,HLA-DQA1,CEACAM6,0.9881464565689856
31,TREM1,LTF,0.9874051948636051
9,FOS,LTF,0.9872027275181975
8,EGR1,LTF,0.9871694446208797
27,MSR1,FOS,0.9867369986313786
21,IL1RAP,FOS,0.9855960032837143
9,FOS,MARCO,0.9850244080634238
17,SLC11A1,FLT3,0.9847024828659758
29,CEACAM6,CREB5,0.9841201311392703
19,FLT3,LTF,0.9838196470544189
33,CREB5,MARCO,0.9838099545197838
30,IL32,IFI27,0.9833456766465042
12,C3AR1,ARG1,0.9832776091536244
18,FLT3,ARG1,0.9829605572869998
33,CREB5,FOS,0.9827918858774499
7,IL3RA,CCL2,0.9824633855987684
6,FN1,CXCL1,0.9822571237803855
15,C1QB,CCL2,0.9819474787644885
10,EGR2,F2RL1,0.9808248004676778
18,FLT3,FCER1A,0.9805113060091393
10,EGR2,CCL2,0.9798354899831165
22,IL1RAP,LCN2,0.9797864517709273
0,HLA-DRB4,FN1,0.9796562070931235
19,LTF,FN1,0.9796562070931235
19,LTF,FOS,0.9795757003933122
7,IL3RA,ARG1,0.9792582423796985
2,HLA-DQB1,IL1R2,0.9787509637269702
28,CEACAM6,EGR1,0.9784147341669389
22,LBP,EGR1,0.9784147341669389
17,FCER1A,IL8,0.9783114066939695
30,IL32,EGR1,0.9774169838044524
25,IFI27,EGR1,0.977225833281279
28,CEACAM6,FCER1A,0.9771199704553264
22,IL1RAP,MSR1,0.9766498217830208
14,C1QB,IL8,0.9765909227904861
28,CEACAM6,SLC11A1,0.9761697601869459
20,IDO1,EGR2,0.9756346648553038
15,F2RL1,EGR1,0.9753786236038098
0,HLA-DRB4,MSR1,0.9752792044729277
19,LTF,FCER1A,0.9745334231771642
25,CCL2,TREM1,0.9739671130675807
15,C1QB,SLC11A1,0.9739330116502705
16,F2RL1,FCER1A,0.9726014632003044
22,IL1RAP,CEACAM6,0.9725603465563013
20,LTF,CEACAM6,0.9725603465563013
33,CREB5,SLC11A1,0.9718598920547026
26,IFI27,CTSG,0.9715947974884689
32,LCN2,MSR1,0.9714993278129245
11,ARG1,SLC11A1,0.9714469937816338
3,IL1R2,C1QB,0.9712140219250274
8,EGR1,CCL2,0.9711930183853894
27,MSR1,FCER1A,0.9706377265563183
30,IL32,LBP,0.9692459478399758
28,CEACAM6,IL8,0.9688036687890212
1,HLA-DQA1,IL3RA,0.9677079329342116
31,TREM1,CEACAM8,0.9676517374438235
0,HLA-DRB4,IL1R2,0.9673014556356232
26,MARCO,IL8,0.965844344314373
7,IL3RA,FLT3,0.9657986375226472
18,FCER1A,CEACAM8,0.9652841714382921
5,IL8,EGR1,0.9647738300584727
5,IL8,IL3RA,0.964739836709288
28,CEACAM6,EGR2,0.9634300552898409
8,EGR1,MSR1,0.9629354227761511
23,LBP,MARCO,0.9624018879465519
12,CXCL1,MSR1,0.9606557181389055
11,CXCL1,IL3RA,0.960576248054847
18,FCER1A,LCN2,0.9604207213042946
7,IL3RA,CXCL1,0.9597697352607409
33,CREB5,FLT3,0.9590558163370575
13,C3AR1,MSR1,0.9586075705817759
13,C3AR1,FLT3,0.9583554142830819
1,HLA-DQA1,FCER1A,0.9576246916592275
23,LILRA4,FLT3,0.9574467480080263
29,CEACAM8,IL1RAP,0.955039023440153
24,CCL2,FN1,0.9548846943533836
15,C1QB,LCN2,0.9546907063488503
19,FLT3,CCL2,0.9543682829611198
6,FN1,CCL2,0.9539176455894804
16,F2RL1,CCL2,0.9539176455894802
10,EGR2,IL32,0.9516081808667769
34,CTSG,CEACAM6,0.9479411488853322
21,IDO1,CCL2,0.9462228792469157
13,C3AR1,MARCO,0.9461627491822574
16,F2RL1,LILRA4,0.9450960244525446
26,MARCO,IDO1,0.9448829224268673
19,FLT3,IL32,0.9433138914669497
5,IL8,IL1RAP,0.9431783482294849
15,C1QB,IL32,0.9408233642209421
5,IL8,IL32,0.9408210163785448
14,PTGDR2,IDO1,0.9405586526184095
23,LBP,TREM1,0.940441229185017
24,LILRA4,IL32,0.9400093817826256
22,LBP,IL1RAP,0.9392950458624134
2,HLA-DQB1,C1QB,0.9386265145107722
28,CEACAM6,CXCL1,0.9355734863620396
11,ARG1,TREM1,0.9352561873308947
27,MARCO,CREB5,0.9347847076259908
11,ARG1,CEACAM6,0.9323857703108374
24,LILRA4,CEACAM6,0.932385770310837
18,FLT3,PTGS2,0.9317039241777795
6,FN1,C3AR1,0.9316475020470583
9,FOS,LBP,0.9309321552555603
15,F2RL1,PTGS2,0.9304062237194086
32,LCN2,CXCL1,0.930062658540083
2,HLA-DQB1,CXCL1,0.9296104220032989
3,IL1R2,TREM1,0.9290658619677965
10,EGR2,LBP,0.9285560290498411
27,MSR1,PTGS2,0.927783595020509
30,IL32,HLA-DQB1,0.9276253802300287
6,IL3RA,PTGS2,0.9270726245796599
28,CEACAM6,F2RL1,0.9266432451241053
5,FN1,PTGS2,0.9255410643321894
13,C3AR1,CEACAM8,0.9233348131042368
23,LILRA4,IDO1,0.9232276982063234
16,F2RL1,CTSG,0.9229483102112293
11,ARG1,CCL2,0.9226161598580026
25,IFI27,F2RL1,0.9222089822297416
18,FCER1A,LTF,0.9212218538198557
32,LCN2,F2RL1,0.9202934256875193
17,FCER1A,F2RL1,0.9202678331476724
11,ARG1,F2RL1,0.9195437467973805
33,CREB5,F2RL1,0.9180138219671977
1,HLA-DQA1,IL1R2,0.9174514386551454
12,CXCL1,F2RL1,0.9167543508476806
10,EGR2,FCER1A,0.9156762344468475
29,CEACAM8,EGR1,0.9155397615379932
31,TREM1,F2RL1,0.9147593544377951
13,C3AR1,FCER1A,0.9141732007247388
2,HLA-DQB1,CTSG,0.9107089515402746
34,CTSG,EGR1,0.9098314399280651
17,SLC11A1,LCN2,0.9040266702677842
29,CEACAM8,C3AR1,0.900998194813956
16,F2RL1,TREM1,0.9006133080218119
17,FCER1A,CXCL1,0.9006023015459826
29,CEACAM8,LBP,0.900298643467093
17,SLC11A1,MARCO,0.8952002214658533
30,CEACAM8,LCN2,0.8927117129989122
2,HLA-DQB1,FCER1A,0.892548007681714
13,C3AR1,LILRA4,0.8922199999683104
31,TREM1,C3AR1,0.8920215258486472
21,IDO1,IL1RAP,0.8917604593852706
17,SLC11A1,IL1RAP,0.8917198260071665
33,CREB5,LCN2,0.8885867903423841
27,MSR1,IL1RAP,0.8874352261972714
25,IFI27,LILRA4,0.8841162616471587
15,C1QB,IDO1,0.8822896157243092
16,F2RL1,IDO1,0.8770053619584354
15,F2RL1,HLA-DQA1,0.8755803882408547
31,TREM1,FOS,0.8726607425379489
0,HLA-DRB4,IL1RAP,0.8714336369304265
0,HLA-DRB4,EGR1,0.8693580292455675
30,IL32,MSR1,0.8682672088019178
21,IL1RAP,F2RL1,0.8672240062017715
34,CTSG,IDO1,0.8643909617051679
15,F2RL1,EGR2,0.8642312305610033
0,HLA-DRB4,LCN2,0.8642154514878951
32,LCN2,IDO1,0.8633654235385917
12,CXCL1,LCN2,0.8623883292158389
31,IL32,CREB5,0.861507628873987
5,IL8,LCN2,0.8593454984969643
28,MSR1,TREM1,0.8571325853756938
22,IL1RAP,MARCO,0.8548791415854989
14,C1QB,HLA-DQA1,0.8519252448717228
25,IFI27,FN1,0.8494176448205816
15,F2RL1,FOS,0.8489344997903019
8,FOS,FN1,0.8484986802840186
8,FOS,IL1R2,0.8453529509686049
31,TREM1,MSR1,0.840632106254604
14,C1QB,FN1,0.8405516837051147
6,IL3RA,HLA-DQA1,0.8401311480809576
30,IL32,C1QB,0.8357418211269898
17,SLC11A1,CREB5,0.8340472597141824
12,C3AR1,EGR2,0.8339306043181023
8,FOS,HLA-DQA1,0.8332376756998694
22,LBP,HLA-DQA1,0.8257765388869666
8,EGR1,CEACAM6,0.8252431774420671
2,HLA-DQB1,FOS,0.8246164985294824
22,IL1RAP,IFI27,0.8242350227225054
17,FCER1A,HLA-DQA1,0.823644194942448
3,IL1R2,IDO1,0.8203985696331191
1,HLA-DQA1,IDO1,0.8195836336396837
31,TREM1,IL1RAP,0.8170880999066911
4,PTGS2,EGR1,0.8165101236740092
10,EGR2,IDO1,0.8127455428663668
28,MSR1,CEACAM6,0.8112925965059352
33,CREB5,C3AR1,0.8105373423592297
30,IL32,IDO1,0.808964913869143
29,CEACAM8,LILRA4,0.8051092841457762
29,CEACAM8,IDO1,0.8049496143235776
17,SLC11A1,TREM1,0.803018769934852
16,F2RL1,IFI27,0.8026136362567197
15,F2RL1,FN1,0.8010743552663756
12,CXCL1,TREM1,0.7988920272754161
17,FCER1A,PTGDR2,0.7954179391845133
21,IL1RAP,PTGDR2,0.7947523084111088
4,PTGS2,TREM1,0.7941276573328805
22,LBP,FN1,0.7936796156840551
29,CEACAM6,TREM1,0.7923887727065884
11,ARG1,IFI27,0.7883428157627184
11,ARG1,CREB5,0.7840993619145759
29,CEACAM8,PTGDR2,0.782287794558084
5,IL8,IFI27,0.7817592303665448
1,HLA-DQA1,IFI27,0.7817592303665445
20,LTF,LCN2,0.7809662931938803
20,IDO1,PTGDR2,0.780199324410165
5,IL8,FCER1A,0.7722092882716484
6,FN1,EGR1,0.7720133002653571
22,LBP,C3AR1,0.7334867815034692
34,CTSG,C3AR1,0.7308019018036243
34,CTSG,FLT3,0.7287924872822222
8,EGR1,C3AR1,0.7186272660979097
22,LBP,PTGDR2,0.7022705313579863
11,ARG1,LILRA4,0.6844929355189993
23,LILRA4,EGR2,0.6443622552194943
27,MSR1,C3AR1,0.6335986818239261
28,MSR1,CTSG,0.6298209005856951
5,FN1,IL8,0.6210263175784636
15,F2RL1,IL8,0.6203995509674421
11,ARG1,CEACAM8,0.610835779013375
20,LTF,IDO1,0.5946987914202676
17,FCER1A,EGR2,0.5833515576943957
